Humidity,Temperature,LDR,Weather
75,33,77,Sunny
75,33,78,Sunny
75,33,76,Sunny
75,33,76,Sunny
75,33,76,Sunny
75,33,76,Sunny
75,33,79,Sunny
75,33,78,Sunny
75,32.9,79,Sunny
75,32.6,82,Sunny
75,32.5,80,Sunny
75,32.5,81,Sunny
75,32.5,75,Sunny
75,32.5,68,Sunny
75,32.5,66,Sunny
75,32.5,64,Sunny
75,32.5,66,Sunny
75,32.5,65,Sunny
75,32.5,65,Sunny
75,32.5,67,Sunny
75,32.5,68,Sunny
75,32.5,65,Sunny
75,32.5,65,Sunny
75,32.5,66,Sunny
75,32.7,66,Sunny
75,33,70,Sunny
75,33,67,Sunny
75,33,67,Sunny
75,33,69,Sunny
75,33,67,Sunny
74,33,66,Sunny
75,33,69,Sunny
74,33,64,Sunny
74,33.3,67,Sunny
74,33.1,66,Sunny
74,33.1,66,Sunny
74,33.1,67,Sunny
74,33.1,67,Sunny
74,33.1,68,Sunny
74,33.1,70,Sunny
74,33.1,75,Sunny
74,33.1,70,Sunny
74,33.1,72,Sunny
74,33.1,68,Sunny
73,33,66,Sunny
73,33,66,Sunny
73,33,65,Sunny
73,33,66,Sunny
73,33,67,Sunny
73,33,63,Sunny
73,33,66,Sunny
73,33,64,Sunny
73,33,62,Sunny
73,32.9,61,Sunny
73,33,62,Sunny
73,33.1,63,Sunny
73,33.1,65,Sunny
73,33.1,61,Sunny
73,33.1,66,Sunny
73,33.1,73,Sunny
73,33.1,72,Sunny
73,33.1,73,Sunny
73,33.1,72,Sunny
73,33.1,68,Sunny
73,33.1,68,Sunny
73,33.1,62,Sunny
73,33.1,62,Sunny
73,33.1,62,Sunny
73,33.1,62,Sunny
73,33.1,65,Sunny
73,33.1,62,Sunny
73,33.1,62,Sunny
73,33.1,63,Sunny
73,33.1,60,Sunny
73,33.3,62,Sunny
73,33.6,63,Sunny
73,33.6,63,Sunny
73,33.6,61,Sunny
72,33.6,64,Sunny
72,33.6,64,Sunny
72,33.6,64,Sunny
72,33.6,67,Sunny
72,33.6,75,Sunny
72,33.6,74,Sunny
72,33.6,76,Sunny
72,33.6,72,Sunny
72,33.6,74,Sunny
72,33.6,74,Sunny
72,33.6,70,Sunny
72,33.6,74,Sunny
72,33.6,74,Sunny
72,33.6,72,Sunny
72,33.6,76,Sunny
72,33.6,65,Sunny
72,33.6,64,Sunny
72,33.6,62,Sunny
72,33.6,63,Sunny
72,33.6,64,Sunny
72,33.4,74,Sunny
72,33.2,73,Sunny
72,33.1,72,Sunny
72,33.1,74,Sunny
72,33.1,73,Sunny
72,33.1,73,Sunny
72,33.2,77,Sunny
72,33.1,74,Sunny
72,33.1,74,Sunny
72,33.1,77,Sunny
72,33.1,76,Sunny
72,33.1,76,Sunny
72,33.1,72,Sunny
72,33.1,75,Sunny
72,33.1,75,Sunny
72,33.1,72,Sunny
72,33.1,75,Sunny
72,33.1,75,Sunny
72,33.3,73,Sunny
72,33,73,Sunny
73,33,75,Sunny
73,33,73,Sunny
73,33.1,72,Sunny
73,32.9,74,Sunny
73,33,74,Sunny
73,33,76,Sunny
73,33,73,Sunny
73,33,75,Sunny
73,33,75,Sunny
73,33,75,Sunny
73,33,70,Sunny
73,33,74,Sunny
73,33,69,Sunny
73,33,64,Sunny
73,33,61,Sunny
73,33.2,63,Sunny
73,33.2,61,Sunny
73,33.1,63,Sunny
73,33.1,62,Sunny
73,33.1,63,Sunny
73,33.1,62,Sunny
73,33.1,61,Sunny
73,33.1,60,Sunny
73,33.3,63,Sunny
73,33.6,60,Sunny
72,33.6,63,Sunny
72,33.6,73,Sunny
73,33.6,75,Sunny
73,33.6,75,Sunny
73,33.6,75,Sunny
73,33.6,76,Sunny
73,33.6,78,Sunny
73,33.6,77,Sunny
73,33.6,77,Sunny
73,33.6,77,Sunny
72,33.6,78,Sunny
72,33.6,77,Sunny
72,33.6,78,Sunny
72,33.6,78,Sunny
72,33.6,78,Sunny
72,33.6,82,Sunny
72,33.6,77,Sunny
72,33.6,78,Sunny
72,33.1,79,Sunny
72,33.1,80,Sunny
72,33.1,79,Sunny
72,33.1,78,Sunny
72,33.1,80,Sunny
72,33.1,76,Sunny
72,33.1,65,Sunny
73,33.1,65,Sunny
73,33.1,66,Sunny
73,33.1,66,Sunny
73,33.1,65,Sunny
73,33.1,67,Sunny
73,33.1,65,Sunny
72,33.1,68,Sunny
72,33.6,69,Sunny
72,33.6,67,Sunny
72,33.6,79,Sunny
72,33.6,77,Sunny
71,33.6,75,Sunny
71,33.6,82,Sunny
71,33.6,80,Sunny
71,33.6,86,Sunny
71,33.6,85,Sunny
71,33.2,84,Sunny
71,33.1,82,Sunny
71,33.2,85,Sunny
71,33.1,84,Sunny
71,33.1,86,Sunny
71,33.1,86,Sunny
72,33.1,85,Sunny
72,33.1,82,Sunny
72,33.1,86,Sunny
72,33.1,85,Sunny
72,33.1,81,Sunny
72,33.1,84,Sunny
73,33.1,82,Sunny
73,33.1,82,Sunny
73,33.1,75,Sunny
73,33.1,70,Sunny
73,33.1,69,Sunny
73,33.1,65,Sunny
73,33.1,66,Sunny
73,33.1,68,Sunny
72,33.1,67,Sunny
72,33.1,66,Sunny
72,33.1,65,Sunny
72,33.6,67,Sunny
71,33.6,66,Sunny
71,33.6,65,Sunny
71,33.6,66,Sunny
73,33.6,66,Sunny
72,33.6,65,Sunny
72,33.6,68,Sunny
72,34.1,65,Sunny
71,34.1,65,Sunny
71,33.9,65,Sunny
71,33.8,66,Sunny
71,33.7,69,Sunny
71,33.7,65,Sunny
71,33.7,67,Sunny
70,33.7,66,Sunny
70,33.7,66,Sunny
70,33.7,65,Sunny
70,33.7,67,Sunny
70,33.7,66,Sunny
70,33.7,66,Sunny
69,33.7,68,Sunny
69,33.7,76,Sunny
70,33.7,84,Sunny
70,33.7,84,Sunny
70,33.7,82,Sunny
70,33.7,86,Sunny
70,33.7,87,Sunny
71,33.7,86,Sunny
71,33.7,81,Sunny
71,34.1,82,Sunny
71,34.1,80,Sunny
71,33.6,77,Sunny
71,33.6,68,Sunny
71,33.6,67,Sunny
71,33.6,67,Sunny
71,33.6,66,Sunny
70,33.6,67,Sunny
71,33.6,67,Sunny
71,33.6,65,Sunny
71,34,66,Sunny
71,33.8,67,Sunny
71,33.7,67,Sunny
71,33.7,67,Sunny
71,33.7,67,Sunny
71,33.7,67,Sunny
71,33.7,64,Sunny
71,33.7,67,Sunny
71,33.7,66,Sunny
71,33.8,65,Sunny
71,33.8,68,Sunny
71,34.1,66,Sunny
71,34.2,69,Sunny
71,34.2,66,Sunny
71,34.2,74,Sunny
71,34.2,81,Sunny
71,34.2,79,Sunny
71,34.2,76,Sunny
71,34.2,70,Sunny
71,34.2,77,Sunny
71,34.2,79,Sunny
70,33.8,82,Sunny
70,33.7,80,Sunny
70,33.7,69,Sunny
70,33.7,67,Sunny
70,33.7,67,Sunny
71,33.7,70,Sunny
71,33.7,77,Sunny
71,33.8,80,Sunny
71,33.7,81,Sunny
71,33.7,80,Sunny
70,33.7,82,Sunny
70,33.7,80,Sunny
70,33.7,82,Sunny
70,33.7,87,Sunny
70,33.7,81,Sunny
70,33.7,77,Sunny
70,33.7,69,Sunny
70,33.7,68,Sunny
71,33.7,67,Sunny
71,33.7,74,Sunny
71,33.7,72,Sunny
71,33.7,69,Sunny
71,33.7,72,Sunny
71,33.7,75,Sunny
71,33.7,67,Sunny
71,33.7,69,Sunny
71,33.7,69,Sunny
71,33.7,66,Sunny
70,33.8,72,Sunny
70,34.2,68,Sunny
70,34.2,70,Sunny
70,34.2,68,Sunny
69,34.2,72,Sunny
69,34.2,68,Sunny
69,34.2,69,Sunny
69,34.2,72,Sunny
68,34.2,69,Sunny
69,34.2,68,Sunny
68,34.2,68,Sunny
68,34.2,69,Sunny
69,34.2,69,Sunny
69,34.2,69,Sunny
69,34.2,69,Sunny
